web-scraper-order,web-scraper-start-url,Game_title,Rating,Downloads
"1613978237-1038","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=142","Wheel Of Fortune Junior Edition","4.5/5","2,217"
"1613978344-1843","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=102","River City Ransom","4.3/5","30,470"
"1613978240-1054","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=141","Wai Wai World 2 - SOS!! Paseri Jou [T-Eng_100%]","4.2/5","4,085"
"1613978420-2394","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=74","Mario Disco Bros 2 (SMB2 Hack)","4.5/5","4,051"
"1613978355-1931","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=98","Qix","4.9/5","3,978"
"1613978545-3321","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=28","Darkwing Duck [T-German0.99]","4.1/5","2,418"
"1613978536-3262","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=31","Dizzy The Adventurer (Aladdin)","4.8/5","1,855"
"1613978617-3845","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=2","3D Block","3.9/5","3,940"
"1613978328-1720","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=108","Shinobi","3.8/5","16,069"
"1613978358-1932","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=97","Power Blade 2","5/5","4,187"
"1613978615-3815","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=3","58-in-1 (Menu)","4.3/5","6,458"
"1613978219-909","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=149","ZZZ_UNK_Challenger (Bad CHR F43d10cd)","5/5","683"
"1613978230-978","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=145","Yo! Noid (PC10)","4.8/5","1,403"
"1613978441-2555","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=66","Laser Invasion","4.1/5","1,914"
"1613978609-3788","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=5","Ai Sensei No Oshiete - Watashi No Hoshi [hM04]","4.1/5","1,220"
"1613978393-2204","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=84","Monster Bros (SMB1 Hack)","5/5","1,190"
"1613978224-945","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=147","Zhong Guo Xiang Qi (As) [p2]","0/5","671"
"1613978347-1869","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=101","Renegade","4.6/5","8,143"
"1613978525-3181","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=35","Dragon Ball - Shen Long No Nazo [hM34][T-Eng]","3.9/5","2,658"
"1613978518-3119","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=38","Earth Bound [T-German1.0_GTrans]","4.3/5","2,224"
"1613978350-1875","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=100","Rad Racer (PC10)","3.9/5","2,748"
