web-scraper-order,web-scraper-start-url,game,game-href,image-src,name,file_size,region,genre,download_count,rating,rate_count,download_url,download_url-href,real_url
"1613990656-4762","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=119","Super Dirt Bros (SMB1 Hack)","https://romsmania.cc/roms/nintendo/super-dirt-bros-smb1-hack-242376","https://romsmania.cc/statics/assets/covers/nintendo/14812front-6850.jpg","Super Dirt Bros (SMB1 Hack)","30.0KB","USA","null","1,931","3.4","7","Download","https://romsmania.cc/download/roms/nintendo/super-dirt-bros-smb1-hack-242376","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/Super%20Dirt%20Bros%20%28SMB1%20Hack%29.zip"
"1613987914-4283","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=143","Wolverine","https://romsmania.cc/roms/nintendo/wolverine-242855","https://romsmania.cc/statics/assets/covers/nintendo/49929front-4537.jpg","Wolverine","100.9KB","USA","null","11,319","4.3","25","Download","https://romsmania.cc/download/roms/nintendo/wolverine-242855","https://s2roms.cc/s3roms/Nintendo/USA/U-Z/Wolverine%20%28U%29.zip"
"1613999243-5959","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=59","Jesus - Kyoufu No Bio Monster [hM02]","https://romsmania.cc/roms/nintendo/jesus-kyoufu-no-bio-monster-hm02-241175","https://romsmania.cc/statics/assets/covers/nintendo/jesus-kyoufu-no-bio-monster-nintendo.jpg","Jesus - Kyoufu No Bio Monster [hM02]","172.9KB","Japan","Adventure","1,091","5","3","Download","https://romsmania.cc/download/roms/nintendo/jesus-kyoufu-no-bio-monster-hm02-241175","https://s2roms.cc/s3roms/Nintendo/Pirate/Jesus%20-%20Kyoufu%20no%20Bio%20Monster%20%28J%29%20%5Bp1%5D%5BhM02%5D.zip"
"1613996948-5605","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=77","Master Chu & The Drunkard Hu (Joy Van)","https://romsmania.cc/roms/nintendo/master-chu-the-drunkard-hu-joy-van-241528","https://romsmania.cc/statics/assets/covers/nintendo/49414front-7181.jpg","Master Chu & The Drunkard Hu (Joy Van)","31.3KB","USA","null","572","0","0","Download","https://romsmania.cc/download/roms/nintendo/master-chu-the-drunkard-hu-joy-van-241528","https://s2roms.cc/s3roms/Nintendo/UNK/Master%20Chu%20%26%20The%20Drunkard%20Hu%20%28Joy%20Van%29.zip"
"1613989129-4507","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=132","Tetris (Unl)","https://romsmania.cc/roms/nintendo/tetris-unl-242633","https://romsmania.cc/statics/assets/covers/nintendo/22277front-5044.jpg","Tetris (Unl)","22.9KB","USA","null","16,628","4","8","Download","https://romsmania.cc/download/roms/nintendo/tetris-unl-242633","https://s2roms.cc/s3roms/Nintendo/Unlicensed/Tetris%20%28Unl%29%20%28U%29.zip"
"1614000698-6164","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=49","Golgo 13 - Dai 1 Shou - Kamigami No Tasogare [hFFE]","https://romsmania.cc/roms/nintendo/golgo-13-dai-1-shou-kamigami-no-tasogare-hffe-240969","https://romsmania.cc/statics/assets/covers/nintendo/golgo-13-dai-1-shou-kamigami-no-tasogare-nintendo.jpg","Golgo 13 - Dai 1 Shou - Kamigami No Tasogare [hFFE]","117.8KB","Japan","Action","1,180","4.4","4","Download","https://romsmania.cc/download/roms/nintendo/golgo-13-dai-1-shou-kamigami-no-tasogare-hffe-240969","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/Golgo%2013%20-%20Dai%201%20Shou%20-%20Kamigami%20no%20Tasogare%20%28J%29%20%5BhFFE%5D.zip"
"1613996766-5578","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=78","Mega Man 2 [T-German][a1]","https://romsmania.cc/roms/nintendo/mega-man-2-t-german-a1-241555","https://romsmania.cc/statics/assets/covers/nintendo/megaman2-ge-4729.jpg","Mega Man 2 [T-German][a1]","129.3KB","USA","null","1,026","4.5","4","Download","https://romsmania.cc/download/roms/nintendo/mega-man-2-t-german-a1-241555","https://s2roms.cc/s3roms/Nintendo/Translated/Mega%20Man%202%20%28U%29%20%5BT-German%5D%5Ba1%5D.zip"
"1614048887-6737","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=20","Carnage 3 (SMB3 Hack) [a1]","https://romsmania.cc/roms/nintendo/carnage-3-smb3-hack-a1-240391","https://romsmania.cc/statics/assets/covers/nintendo/carnage-nintendo.png","Carnage 3 (SMB3 Hack) [a1]","219.1KB","USA","Action, Platform","1,037","4.6","10","Download","https://romsmania.cc/download/roms/nintendo/carnage-3-smb3-hack-a1-240391","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/Carnage%203%20%28SMB3%20Hack%29%20%5Ba1%5D.zip"
"1613988326-4359","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=139","Videomation","https://romsmania.cc/roms/nintendo/videomation-242779","https://romsmania.cc/statics/assets/covers/nintendo/22292front-4505.jpg","Videomation","17.0KB","USA","null","1,427","5","3","Download","https://romsmania.cc/download/roms/nintendo/videomation-242779","https://s2roms.cc/s3roms/Nintendo/USA/U-Z/Videomation%20%28U%29.zip"
"1614039615-6541","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=30","Dick Kids (MC Kids Hack)","https://romsmania.cc/roms/nintendo/dick-kids-mc-kids-hack-240588","https://romsmania.cc/statics/assets/covers/nintendo/dick-kids-(mc-kids-hack)-nintendo.png","Dick Kids (MC Kids Hack)","153.1KB","USA","Platform","1,601","4.5","17","Download","https://romsmania.cc/download/roms/nintendo/dick-kids-mc-kids-hack-240588","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/Dick%20Kids%20%28MC%20Kids%20Hack%29.zip"
